CODICESCUOLA,ORDINESCUOLA,AREAGEOGRAFICA,DENOMINAZIONEISTITUTORIFERIMENTO,PROVINCIA,DENOMINAZIONESCUOLA,INDIRIZZOSCUOLA,LONG_X_4326,LAT_Y_4326,Total
MIEE81701V,SCUOLA PRIMARIA,NORD OVEST,IC SIMONA GIORGI,MILANO,PRIMARIA DE AMICIS,VIA VENINI 80,9.217288605,45.49567697,328
MIEE81702X,SCUOLA PRIMARIA,NORD OVEST,IC SIMONA GIORGI,MILANO,PRIMARIA T. CIRESOLA,V.LE BRIANZA 18,9.2135115,45.487611,305
MIEE81901E,SCUOLA PRIMARIA,NORD OVEST,IC I. CALVINO,MILANO,PRIMARIA VIA MATTEI,VIA MATTEI 12,9.223059394,45.51444905,321
MIEE81902G,SCUOLA PRIMARIA,NORD OVEST,IC I. CALVINO,MILANO,PRIMARIA VIA S.UGUZZONE,VIA S. UGUZZONE 10,9.2255535,45.520722,164
MIEE81903L,SCUOLA PRIMARIA,NORD OVEST,IC I. CALVINO,MILANO,PRIMARIA VIA CARNOVALI,VIA CARNOVALI 19,9.230085,45.512937,87
MIEE82001P,SCUOLA PRIMARIA,NORD OVEST,IC BRUNO MUNARI,MILANO,PRIMARIA VIA DEI SALICI,VIA DEI SALICI 2,9.0808155,45.451917,297
MIEE82002Q,SCUOLA PRIMARIA,NORD OVEST,IC BRUNO MUNARI,MILANO,PRIMARIA N.TOMMASEO,VIA MUGGIANO 14,9.070308,45.448209,80
MIEE82201A,SCUOLA PRIMARIA,NORD OVEST,IC MANZONI AD ORDINAM. MUSICALE,MILANO,PRIMARIA VIA A. MANZONI,VIA MANZONI 14,9.2782902,45.5308485,262
MIEE82202B,SCUOLA PRIMARIA,NORD OVEST,IC MANZONI AD ORDINAM. MUSICALE,MILANO,PRIMARIA VIA BOCCACCIO,VIA BOCCACCIO 10,9.2802381,45.534484,176
MIEE823016,SCUOLA PRIMARIA,NORD OVEST,I.C. MARCELLO CANDIA,MILANO,PRIMARIA VIA POLESINE,VIA POLESINE 12/14,9.22266,45.439164,287
MIEE823027,SCUOLA PRIMARIA,NORD OVEST,I.C. MARCELLO CANDIA,MILANO,PRIMARIA VIA VALLARSA,VIA VALLARSA 19,9.210042,45.442593,281
MIEE824012,SCUOLA PRIMARIA,NORD OVEST,IC GIUSTI - D'ASSISI,MILANO,PRIMARIA GIUSTI D'ASSISI,VIA GIUSTI 15,9.1212255,45.475731,447
MIEE824023,SCUOLA PRIMARIA,NORD OVEST,IC GIUSTI - D'ASSISI,MILANO,PRIMARIA CICERI VISCONTI,VIA PALERMO 7/9,9.185746095,45.47523813,310
MIEE82501T,SCUOLA PRIMARIA,NORD OVEST,IC BALILLA PAGANELLI,MILANO,PRIMARIA MARIO LODI,VIA SARDEGNA 17,9.2327815,45.5500879,219
MIEE82502V,SCUOLA PRIMARIA,NORD OVEST,IC BALILLA PAGANELLI,MILANO,PRIMARIA ABRAMO LINCOLN,VIA S. ANTONIO 57,9.2268424,45.5520346,273
MIEE82503X,SCUOLA PRIMARIA,NORD OVEST,IC BALILLA PAGANELLI,MILANO,PRIMARIA RICCARDO BAUER,VIA DEI PARTIGIANI 174,9.2259709,45.5421346,233
MIEE825052,SCUOLA PRIMARIA,NORD OVEST,IC BALILLA PAGANELLI,MILANO,PRIMARIA PL. MONTESS. A.FRANK,VIA FRIULI 18,9.1765148,45.599184,99
MIEE832011,SCUOLA PRIMARIA,NORD OVEST,I.C. SETTIMO MILANESE,MILANO,PRIMARIA VIGHIGNOLO,VIA AIRAGHI,9.0416008,45.494818,175
MIEE832022,SCUOLA PRIMARIA,NORD OVEST,I.C. SETTIMO MILANESE,MILANO,PRIMARIA VIA BUOZZI,VIA BUOZZI 3/5,9.054402,45.484355,381
MIEE832033,SCUOLA PRIMARIA,NORD OVEST,I.C. SETTIMO MILANESE,MILANO,PRIMARIA DON MILANI,PIAZZA DON MILANI 2,9.0669931,45.4735622,271
MIEE83301R,SCUOLA PRIMARIA,NORD OVEST,IC REGINA ELENA,MILANO,PRIMARIA REGINA ELENA,VIA SAN FRANCESCO,9.0823641,45.6137887,215
MIEE83302T,SCUOLA PRIMARIA,NORD OVEST,IC REGINA ELENA,MILANO,PRIMARIA DON LORENZO MILANI,VIA GIUSTI 2,9.105795,45.615867,199
MIEE83303V,SCUOLA PRIMARIA,NORD OVEST,IC REGINA ELENA,MILANO,PRIMARIA MARIA MASCHERPA,VIA SAN FRANCESCO,9.0823641,45.6137887,181
MIEE836018,SCUOLA PRIMARIA,NORD OVEST,IC DON LORENZO MILANI,MILANO,RITA LEVI-MONTALCINI,VIA GIULIO CESARE,8.7394235,45.5291601,330
MIEE836029,SCUOLA PRIMARIA,NORD OVEST,IC DON LORENZO MILANI,MILANO,ALDO MORO,P.ZZA DONATORI E VOLONTARI DEL SANGUE,8.7763872,45.5276267,207
MIEE837014,SCUOLA PRIMARIA,NORD OVEST,IC G. FALCONE E P. BORSELLINO,MILANO,PRIMARIA VIA GIOLITTI,VIA GIOLITTI 11,8.7777305,45.560914,235
MIEE837025,SCUOLA PRIMARIA,NORD OVEST,IC G. FALCONE E P. BORSELLINO,MILANO,PRIMARIA VIA ACERBI,VIA ACERBI 40,8.7778061,45.5500206,235
MIEE83801X,SCUOLA PRIMARIA,NORD OVEST,RITA LEVI MONTALCINI,MILANO,ANNA MARIA MOZZONI,VIA ANNONI 47/A,8.8093426,45.501354,264
MIEE838021,SCUOLA PRIMARIA,NORD OVEST,RITA LEVI MONTALCINI,MILANO,RINALDO ANELLI,PIAZZA DELLA PACE,8.8184672,45.479376,131
MIEE84001X,SCUOLA PRIMARIA,NORD OVEST,IST. OMNICOMPRENSIVO EUROPEO,MILANO,PRIMARIA MAZZINI,VIA MARIO ABBIATE,8.8134605,45.5446236,240
MIEE840032,SCUOLA PRIMARIA,NORD OVEST,IST. OMNICOMPRENSIVO EUROPEO,MILANO,PRIMARIA ADA NEGRI,VIA V. VENETO 5,8.8499244,45.5384488,304
MIEE84201G,SCUOLA PRIMARIA,NORD OVEST,IC ADA NEGRI,MILANO,PRIMARIA G. LEOPARDI,VIA LEOPARDI 5,8.8181444,45.5782057,164
MIEE84202L,SCUOLA PRIMARIA,NORD OVEST,IC ADA NEGRI,MILANO,PRIMARIA A. NEGRI,VIA LAMBRUSCHINI 2,8.8001035,45.5797812,176
MIEE84203N,SCUOLA PRIMARIA,NORD OVEST,IC ADA NEGRI,MILANO,PRIMARIA S. FRANCESCO D'ASSISI,VIA ROSMINI,8.7850857,45.578374,246
MIEE844017,SCUOLA PRIMARIA,NORD OVEST,IC ALDO MORO,MILANO,PRIMARIA A. MORO,VIA REDIPUGLIA 8,8.9282123,45.5662227,381
MIEE845013,SCUOLA PRIMARIA,NORD OVEST,IC CARDUCCI,MILANO,PRIMARIA G. CARDUCCI,VIA DON MAGNI 2,8.9399139,45.5846385,247
MIEE845024,SCUOLA PRIMARIA,NORD OVEST,IC CARDUCCI,MILANO,PRIMARIA G. RODARI,VIA VITTORIO VENETO 56,8.9115202,45.5698045,275
MIEE84701P,SCUOLA PRIMARIA,NORD OVEST,IC A. STROBINO,MILANO,PRIMARIA A.STROBINO,VIA BOCCACCIO N. 2/E,8.9528983,45.5952619,159
MIEE84702Q,SCUOLA PRIMARIA,NORD OVEST,IC A. STROBINO,MILANO,PRIMARIA G. CARDUCCI,VIA CARDUCCI 7,9.2951301,45.4311376,201
MIEE84703R,SCUOLA PRIMARIA,NORD OVEST,IC A. STROBINO,MILANO,PRIMARIA FRAZ. CANTALUPO,VIA VERCELLI,8.9782213,45.5779806,107
MIEE84901A,SCUOLA PRIMARIA,NORD OVEST,IC A. MANZONI,MILANO,PRIMARIA A. MANZONI,VIA ASILO 2,8.9417926,45.6316379,195
MIEE85101A,SCUOLA PRIMARIA,NORD OVEST,IC D. ALIGHIERI,MILANO,PRIMARIA D. ALIGHIERI,VIA MAZZINI 16,8.9495879,45.6191344,386
MIEE852016,SCUOLA PRIMARIA,NORD OVEST,IC A.MANZONI,MILANO,PRIMARIA A.MANZONI,VIA S.TERESA 36,8.9237259,45.6071231,492
MIEE852027,SCUOLA PRIMARIA,NORD OVEST,IC A.MANZONI,MILANO,PRIMARIA G.PASCOLI,VIA COLOMBES 19,8.9360695,45.6019089,112
MIEE853012,SCUOLA PRIMARIA,NORD OVEST,IC NERVIANO,MILANO,PRIMARIA DI VITTORIO,VIA DI VITTORIO 16,8.9680518,45.5480416,204
MIEE853023,SCUOLA PRIMARIA,NORD OVEST,IC NERVIANO,MILANO,PRIMARIA R. LEVI MONTALCINI,VIA ROMA 51,8.9765451,45.5536055,283
MIEE853034,SCUOLA PRIMARIA,NORD OVEST,IC NERVIANO,MILANO,PRIMARIA ADA NEGRI,VIA F.FILZI 6,8.9988709,45.5565492,48
MIEE853045,SCUOLA PRIMARIA,NORD OVEST,IC NERVIANO,MILANO,PRIMARIA MADRE T. DI CALCUTTA,VIA TRENTO 21,8.9853249,45.5683815,81
MIEE85401T,SCUOLA PRIMARIA,NORD OVEST,IC DUCA D'AOSTA,MILANO,PRIMARIA A. DUCA D'AOSTA,VIA LITTA MODIGNANI,8.8982895,45.5061435,139
MIEE85402V,SCUOLA PRIMARIA,NORD OVEST,IC DUCA D'AOSTA,MILANO,PFRIMARIA A.MANZONI,VIA UMBERTO I 13,8.9011966,45.521555,213
MIEE85403X,SCUOLA PRIMARIA,NORD OVEST,IC DUCA D'AOSTA,MILANO,PRIMARIA S. STEFANO TICINO,VIALE DELLA REPUBBLICA 45,8.9231716,45.4889789,245
MIEE85501N,SCUOLA PRIMARIA,NORD OVEST,IC VIA DEI SALICI,MILANO,PRIMARIA G. RODARI,VIA DEI SALICI 4,8.887131,45.596901,330
MIEE85502P,SCUOLA PRIMARIA,NORD OVEST,IC VIA DEI SALICI,MILANO,PRIMARIA G. MAZZINI,P.ZZA TRENTO E TRIESTE 2,8.9125109,45.6007714,299
MIEE85601D,SCUOLA PRIMARIA,NORD OVEST,IC ALDO MORO,MILANO,PRIMARIA ALDO MORO,VIA EUROPA 1,8.9264469,45.4741598,562
MIEE85602E,SCUOLA PRIMARIA,NORD OVEST,IC ALDO MORO,MILANO,PRIMARIA VILLA FAVORITA,VIA S. SEBASTIANO,8.9183888,45.4639492,289
MIEE858015,SCUOLA PRIMARIA,NORD OVEST,IC E. DE AMICIS,MILANO,PRIMARIA MARCALLO,VIA AL DONATORE DI SANGUE 11,8.8746094,45.4865053,272
MIEE858026,SCUOLA PRIMARIA,NORD OVEST,IC E. DE AMICIS,MILANO,PRIMARIA BOFFALORA,PIAZZA IV GIUGNO,8.8299633,45.4672028,153
MIEE858048,SCUOLA PRIMARIA,NORD OVEST,IC E. DE AMICIS,MILANO,PRIMARIA MESERO,VIA PIO XII 7,8.8568413,45.4997111,187
MIEE860015,SCUOLA PRIMARIA,NORD OVEST,IC S.PELLICO,MILANO,PRIMARIA S.PELLICO,VIA E. TOTI 2,8.9441921,45.5023823,315
MIEE860026,SCUOLA PRIMARIA,NORD OVEST,IC S.PELLICO,MILANO,PRIMARIA E. DE FILIPPO,VIA S.ISAIA,8.9723301,45.5068156,191
MIEE860037,SCUOLA PRIMARIA,NORD OVEST,IC S.PELLICO,MILANO,PRIMARIA ALDO MORO,VIA DAMIANO CHIESA,8.9336982,45.5082526,98
MIEE86201R,SCUOLA PRIMARIA,NORD OVEST,IC D.ALIGHIERI DI VITTUONE,MILANO,PRIMARIA D.ALIGHIERI,VIA IV NOVEMBRE 15/23,8.9548686,45.4852456,202
MIEE86202T,SCUOLA PRIMARIA,NORD OVEST,IC D.ALIGHIERI DI VITTUONE,MILANO,PRIMARIA A. GRAMSCI,VIA GRAMSCI NN.6/8,9.0590961,45.4887055,176
MIEE865018,SCUOLA PRIMARIA,NORD OVEST,IC SEDRIANO,MILANO,PRIMARIA L. FAGNANI,VIA MATTEOTTI 8,8.9692502,45.4920493,475
MIEE865029,SCUOLA PRIMARIA,NORD OVEST,IC SEDRIANO,MILANO,PRIMARIA P. VILLANI,VIA DEL VERROCCHIO5,8.9837622,45.4878505,100
MIEE86701X,SCUOLA PRIMARIA,NORD OVEST,IC GIORGIO PERLASCA,MILANO,PRIMARIA C COLLODI,VIA MIRABELLO,9.0074274,45.4859752,279
MIEE867021,SCUOLA PRIMARIA,NORD OVEST,IC GIORGIO PERLASCA,MILANO,PRIMARIA G. RODARI,VIA MATTEOTTI 31,8.9934428,45.4769151,410
MIEE86901G,SCUOLA PRIMARIA,NORD OVEST,IC ERASMO DA ROTTERDAM,MILANO,PRIMARIA ALBAIRATE,VIA ROMA,8.9380302,45.4205238,210
MIEE86902L,SCUOLA PRIMARIA,NORD OVEST,IC ERASMO DA ROTTERDAM,MILANO,PRIMARIA CISLIANO,VIA KAROL WOJTYLA,8.9891348,45.4476479,309
MIEE87201B,SCUOLA PRIMARIA,NORD OVEST,IC ADA NEGRI,MILANO,PRIMARIA MOTTA VISCONTI,VIA DON MILANI2,8.9963774,45.2925158,403
MIEE87202C,SCUOLA PRIMARIA,NORD OVEST,IC ADA NEGRI,MILANO,PRIMARIA BESATE,VIA MARANGONI 6,8.9717531,45.3139966,99
MIEE873017,SCUOLA PRIMARIA,NORD OVEST,IC G. RODARI,MILANO,PRIMARIA VERMEZZO,VIA DANTE 1,8.9848154,45.3927321,224
MIEE873028,SCUOLA PRIMARIA,NORD OVEST,IC G. RODARI,MILANO,PRIMARIA GUDO VISCONTI,P.ZZA ROMA,8.9994226,45.3729656,82
MIEE874013,SCUOLA PRIMARIA,NORD OVEST,IC LEONARDO DA VINCI,MILANO,PRIMARIA VIA MATTEOTTI,VIA MATTEOTTI 19,9.0347004,45.405256,442
MIEE87601P,SCUOLA PRIMARIA,NORD OVEST,IC. DI ROSATE,MILANO,PRIMARIA VIALE RIMEMBRANZE,VIALE RIMEMBRANZE 34/ 36,9.0160717,45.3493269,259
MIEE87602Q,SCUOLA PRIMARIA,NORD OVEST,IC. DI ROSATE,MILANO,PRIMARIA MARCONI,VIA MARCONI 1,9.0228744,45.3305798,69
MIEE87603R,SCUOLA PRIMARIA,NORD OVEST,IC. DI ROSATE,MILANO,MARIO GIURIATI,VIA ROGGIA CINA 1,9.0182208,45.3255898,97
MIEE87701E,SCUOLA PRIMARIA,NORD OVEST,IC DANTE ALIGHIERI,MILANO,PRIMARIA SACCO E VANZETTI,VIA DANTE 4,9.3116254,45.4337142,207
MIEE87702G,SCUOLA PRIMARIA,NORD OVEST,IC DANTE ALIGHIERI,MILANO,PRIMARIA GIANNI RODARI,L.GO P. NENNI6,9.2120835,45.3746577,313
MIEE87703L,SCUOLA PRIMARIA,NORD OVEST,IC DANTE ALIGHIERI,MILANO,PRIMARIA F.LLI CERVI,VIA SAN BENEDETTO DA NORCIA,9.212919,45.391202,92
MIEE88001A,SCUOLA PRIMARIA,NORD OVEST,IC ORCHIDEE,MILANO,PRIMARIA ALBERELLE,VIA ALBERELLE 110,9.1592984,45.3969358,247
MIEE88002B,SCUOLA PRIMARIA,NORD OVEST,IC ORCHIDEE,MILANO,PRIMARIA ORCHIDEE,VIA DELLE ORCHIDEE,9.1543753,45.3792124,287
MIEE881016,SCUOLA PRIMARIA,NORD OVEST,IC NOVIGLIO-CASARILE,MILANO,PRIMARIA G.DI VITTORIO,VIA PUCCINI 34,9.1015884,45.3175356,179
MIEE881027,SCUOLA PRIMARIA,NORD OVEST,IC NOVIGLIO-CASARILE,MILANO,"PRIMARIA A. MANZI""",VIA VERDI 4,9.0532064,45.3585648,152
MIEE882012,SCUOLA PRIMARIA,NORD OVEST,IC A. BENEDETTI MICHELANGELI,MILANO,PRIMARIA G. RODARI,VIA DANTE 4,9.3116254,45.4337142,371
MIEE882023,SCUOLA PRIMARIA,NORD OVEST,IC A. BENEDETTI MICHELANGELI,MILANO,PRIMARIA TIKVA AMAL,VIA QUASIMODO 1,9.1096434,45.3677387,198
MIEE88401N,SCUOLA PRIMARIA,NORD OVEST,IC BASIGLIO,MILANO,PRIMARIA BASIGLIO,PIAZZA LEONARDO DA VINCI,9.1582749,45.3613777,480
MIEE88501D,SCUOLA PRIMARIA,NORD OVEST,IC DON MILANI LOCATE DI TRIULZI,MILANO,PRIMARIA DON MILANI,VIA DON MILANI,9.2277358,45.3597098,469
MIEE886019,SCUOLA PRIMARIA,NORD OVEST,IC MARGHERITA HACK,MILANO,PRIMARIA GIOVANNI FALCONE,VIA MATTEOTTI 3,9.1312862,45.4096208,441
MIEE887015,SCUOLA PRIMARIA,NORD OVEST,IC GALILEI,MILANO,PRIMARIA GALILEI,VIA GALILEI16,9.112879,45.428872,414
MIEE888011,SCUOLA PRIMARIA,NORD OVEST,IC BUONARROTI,MILANO,PRIMARIA L. SALMA,VIA L.SALMA 53,9.1057106,45.427689,247
MIEE888022,SCUOLA PRIMARIA,NORD OVEST,IC BUONARROTI,MILANO,PRIMARIA BATTISTI,VIA BATTISTI 4,9.105658,45.432271,107
MIEE88901R,SCUOLA PRIMARIA,NORD OVEST,IC COPERNICO,MILANO,PRIMARIA COPERNICO,VIA DON TORNAGHI 6,9.1125311,45.4394666,356
MIEE88902T,SCUOLA PRIMARIA,NORD OVEST,IC COPERNICO,MILANO,PRIMARIA CURIEL,VIA CURIEL,9.0937029,45.4399298,94
MIEE890011,SCUOLA PRIMARIA,NORD OVEST,IC R FRANCESCHI,MILANO,PRIMARIA R.FRANCESCHI,VIA A.CARO,9.0623983,45.422923,87
MIEE890022,SCUOLA PRIMARIA,NORD OVEST,IC R FRANCESCHI,MILANO,PRIMARIA F. TURATI,VIA IV NOVEMBRE,9.0688681,45.4177555,192
MIEE890033,SCUOLA PRIMARIA,NORD OVEST,IC R FRANCESCHI,MILANO,PRIMARIA L. BASSO,VIA GIACOSA,9.0774906,45.4206866,185
MIEE89301C,SCUOLA PRIMARIA,NORD OVEST,IC ENRICO FERMI,MILANO,PRIMARIA GIOVANNI XXIII,VIA BRAMANTE,9.280703,45.3966434,245
MIEE89302D,SCUOLA PRIMARIA,NORD OVEST,IC ENRICO FERMI,MILANO,PRIMARIA BORGO LOMBARDO,VIA LEONARDO DA VINCI 2,9.515008,45.5245238,134
MIEE89303E,SCUOLA PRIMARIA,NORD OVEST,IC ENRICO FERMI,MILANO,PRIMARIA WALTER TOBAGI,VIA BEZZECCA,9.2489509,45.3929557,191
MIEE895014,SCUOLA PRIMARIA,NORD OVEST,IC MONTESSORI,MILANO,PRIMARIA M. MONTESSORI,P.ZZA ITALIA,9.2833004,45.3985304,316
MIEE89701Q,SCUOLA PRIMARIA,NORD OVEST,IC PAOLO FRISI,MILANO,PRIMARIA TERESA SARTI,VIA LAZIO,9.3189152,45.3614722,364
MIEE89702R,SCUOLA PRIMARIA,NORD OVEST,IC PAOLO FRISI,MILANO,PRIMARIA CARPIANO,VIA EUROPA 5,9.2761541,45.3418319,213
MIEE89703T,SCUOLA PRIMARIA,NORD OVEST,IC PAOLO FRISI,MILANO,PRIMARIA L. DA VINCI,VIA DIAZ,9.3264555,45.3432699,289
MIEE89801G,SCUOLA PRIMARIA,NORD OVEST,IC G.DEZZA,MILANO,PRIMARIA G. DEZZA,VIA CADORNA 23,9.3211668,45.354802,474
MIEE89901B,SCUOLA PRIMARIA,NORD OVEST,IC R.L. MONTALCINI,MILANO,PRIMARIA MEZZATE,PIAZZA DELLA COSTITUZIONE 16,9.2970739,45.4442404,125
MIEE89902C,SCUOLA PRIMARIA,NORD OVEST,IC R.L. MONTALCINI,MILANO,PRIMARIA CARDUCCI,VIA CARDUCCI 9,9.2952052,45.4305088,254
MIEE8A0014,SCUOLA PRIMARIA,NORD OVEST,IC G.PASCOLI,MILANO,PRIMARIA G. PASCOLI,VIA MILANO 220,9.2467278,45.5265085,375
MIEE8A101X,SCUOLA PRIMARIA,NORD OVEST,IC ANNA FRANK,MILANO,PRIMARIA A.FRANK,VIA BOCCACCIO 336,9.2397506,45.5462162,210
MIEE8A1021,SCUOLA PRIMARIA,NORD OVEST,IC ANNA FRANK,MILANO,PRIMARIA B.LUINI,VIA MINCIO101,9.23721,45.5287282,69
MIEE8A202R,SCUOLA PRIMARIA,NORD OVEST,IC EUGENIO CURIEL,MILANO,PRIMARIA DON MILANI,VIA DELLA LIBERAZIONE,9.3753696,45.4143247,199
MIEE8A203T,SCUOLA PRIMARIA,NORD OVEST,IC EUGENIO CURIEL,MILANO,PRIMARIA A. NEGRI,VIA VIGORELLI 27,9.3492637,45.4359432,175
MIEE8A204V,SCUOLA PRIMARIA,NORD OVEST,IC EUGENIO CURIEL,MILANO,PRIMARIA G. MAZZINI,VIA MAZZARELLO,9.4082917,45.4215629,284
MIEE8A301G,SCUOLA PRIMARIA,NORD OVEST,IC DELLA MARGHERITA,MILANO,PRIMARIA G.CARDUCCI - VIZZOLO P,VIA VERDI 1,9.3470418,45.3564783,189
MIEE8A302L,SCUOLA PRIMARIA,NORD OVEST,IC DELLA MARGHERITA,MILANO,PRIMARIA A.MANZONI,VIA MUNICIPIO1,9.348884,45.3812869,72
MIEE8A303N,SCUOLA PRIMARIA,NORD OVEST,IC DELLA MARGHERITA,MILANO,PRIMARIA GIOVANNI XXIII,VIA DELLE MARGHERITE 15,9.355241,45.3748354,173
MIEE8A305Q,SCUOLA PRIMARIA,NORD OVEST,IC DELLA MARGHERITA,MILANO,PRIMARIA G. RODARI,VIA VISCONTI 2,9.3566314,45.3279871,170
MIEE8A401B,SCUOLA PRIMARIA,NORD OVEST,IC DANIELA MAURO,MILANO,PRIMARIA PESSANO,VIA ROMA 35,9.3877204,45.5490526,324
MIEE8A402C,SCUOLA PRIMARIA,NORD OVEST,IC DANIELA MAURO,MILANO,PRIMARIA PIAZZA CASTELLO,PIAZZA CASTELLO 23,9.3842257,45.5512846,13
MIEE8A5017,SCUOLA PRIMARIA,NORD OVEST,IC MARTIRI DELLA LIBERTA,MILANO,PRIMARIA MARTIRI DELLA LIBERTA',VIA MARTIRI DELLA LIBERTA' 8,9.2334841,45.5302751,385
MIEE8A5028,SCUOLA PRIMARIA,NORD OVEST,IC MARTIRI DELLA LIBERTA,MILANO,PRIMARIA B.ORIANI,VIA BUOZZI N. 144,9.2286553,45.5277699,198
MIEE8A6013,SCUOLA PRIMARIA,NORD OVEST,I.C. ALDA FAIP0',MILANO,PRIMARIA A. DIAZ,V.LE EUROPA 6,9.4333063,45.5530985,360
MIEE8A6024,SCUOLA PRIMARIA,NORD OVEST,I.C. ALDA FAIP0',MILANO,PRIMARIA A.LOCATELLI,VIA VENETO 1,9.4235663,45.5728298,273
MIEE8A801P,SCUOLA PRIMARIA,NORD OVEST,ISTITUTO COMPRENSIVO BRIANZA,MILANO,PRIMARIA DON MILANI,VIA CONI ZUGNA,9.1396928,45.5473566,107
MIEE8A802Q,SCUOLA PRIMARIA,NORD OVEST,ISTITUTO COMPRENSIVO BRIANZA,MILANO,PRIMARIA IQBAL MASIK,VIA COMO,9.1422374,45.5622826,273
MIEE8A901E,SCUOLA PRIMARIA,NORD OVEST,IC GIANNI RODARI,MILANO,PRIMARIA G. RODARI,VIA MENTANA,9.1195692,45.5251076,462
MIEE8AB01Q,SCUOLA PRIMARIA,NORD OVEST,IC FABRIZIO DE ANDRE',MILANO,PRIMARIA E. DE AMICIS,VIA GOLDONI 1,9.312687,45.4333907,478
MIEE8AB02R,SCUOLA PRIMARIA,NORD OVEST,IC FABRIZIO DE ANDRE',MILANO,PRIMARIA ANTICHI FONTANILI,V.LE ABRUZZI,9.3152377,45.4583929,233
MIEE8AF013,SCUOLA PRIMARIA,NORD OVEST,IC TRILUSSA,MILANO,PRIMARIA VIA A. GRAF 74,VIA A. GRAF 74,9.145786099,45.5122777,156
MIEE8AF024,SCUOLA PRIMARIA,NORD OVEST,IC TRILUSSA,MILANO,PRIMARIA VIA A. GRAF 70,VIA A.GRAF 70,9.145627599,45.51278658,240
MIEE8AG01V,SCUOLA PRIMARIA,NORD OVEST,IC VIA VAL LAGARINA,MILANO,PRIMARIA VIA VAL LAGARINA,VIA VAL LAGARINA 44,9.135009,45.520551,337
MIEE8AG02X,SCUOLA PRIMARIA,NORD OVEST,IC VIA VAL LAGARINA,MILANO,PRIMARIA GHERARDINI,VIA CITTADINI 9,9.194463,45.448857,331
MIEE8AN01G,SCUOLA PRIMARIA,NORD OVEST,IC M.TERESA DI CALCUTTA,MILANO,PRIMARIALARGO GUERRIERI GONZAGA,LARGO GUERRIERI GONZAGA4,9.251739,45.445014,192
MIEE8AN02L,SCUOLA PRIMARIA,NORD OVEST,IC M.TERESA DI CALCUTTA,MILANO,PRIMARIA S.GIOVANNI BOSCO,VIA SORDELLO 7,9.2457315,45.443934,276
MIEE8AN03N,SCUOLA PRIMARIA,NORD OVEST,IC M.TERESA DI CALCUTTA,MILANO,PRIMARIA G. UCELLI DI NEMI,VIA UCELLI DI NEMI 54,9.26406,45.437814,190
MIEE8AP01B,SCUOLA PRIMARIA,NORD OVEST,IC PIAZZA COSTA,MILANO,PRMARIA A. COSTA,PIAZZA COSTA 23,9.2214688,45.5558206,303
MIEE8AP02C,SCUOLA PRIMARIA,NORD OVEST,IC PIAZZA COSTA,MILANO,PRIMARIA A. MANZONI,VIA MANZONI 15,9.21459,45.553347,258
MIEE8AQ017,SCUOLA PRIMARIA,NORD OVEST,IC CARLO E. BUSCAGLIA,MILANO,PRIMARIA BUSCAGLIA,VIA PAISIELLO 4,9.2178542,45.562683,186
